
0	1	4	96
1	1	1	99
2	1	1	99
3	1	1	99
4	1	1	99
5	1	0	100
6	1	0	100
7	1	1	99
8	1	6	94
9	1	0	100
10	1	1	99
11	1	0	100
12	0	25	75
13	1	4	96
14	1	50	50
15	1	3	97
16	1	20	80
17	1	57	43
18	1	2	98
19	1	0	100
20	0	4	96
21	1	0	100
22	0	79	21
23	1	0	100
24	1	0	100
25	1	0	100
26	1	1	99
27	1	0	100
28	1	14	86
29	1	0	100
30	1	3	97
31	1	0	100
32	1	1	99
33	1	0	100
34	1	0	100
35	1	2	98
36	1	1	99
37	1	1	99
38	1	0	100
39	1	1	99
40	1	0	100
41	1	0	100
42	1	1	99
43	1	1	99
44	1	3	97
45	1	0	100
46	1	0	100
47	1	0	100
48	1	0	100
49	1	0	100
50	1	1	99
51	1	0	100
52	1	14	86
53	1	0	100
54	1	0	100
55	1	0	100
56	1	0	100
57	1	2	98
58	1	2	98
59	1	0	100
60	1	0	100
61	1	4	96
62	1	1	99
63	1	15	85
64	0	49	51
65	1	2	98
66	1	0	100
67	1	3	97
68	1	0	100
69	1	0	100
70	1	8	92
71	1	0	100
72	1	3	97
73	1	19	81
74	1	2	98
75	1	7	93
76	1	0	100
77	1	0	100
78	1	1	99
79	1	0	100
80	1	0	100
81	1	0	100
82	1	0	100
83	1	0	100
84	1	1	99
85	1	1	99
86	1	13	87
87	1	0	100
88	1	0	100
89	1	0	100
90	1	0	100
91	1	8	92
92	1	0	100
93	1	0	100
94	0	42	58
95	1	23	77
96	1	1	99
97	0	1	99
98	1	0	100
99	1	0	100
100	1	0	100
101	1	1	99
102	1	2	98
103	1	0	100
104	0	46	54
105	1	1	99
106	1	1	99
107	0	0	100
108	1	0	100
109	1	35	65
110	1	0	100
111	1	0	100
112	1	7	93
113	1	51	49
114	1	1	99
115	1	2	98
116	1	2	98
117	1	0	100
118	1	0	100
119	1	1	99
120	1	0	100
121	1	0	100
122	0	12	88
123	0	20	80
124	1	3	97
125	1	0	100
126	1	1	99
127	1	0	100
128	1	19	81
129	1	21	79
130	1	0	100
131	1	0	100
132	1	0	100
133	1	1	99
134	0	98	2
135	1	1	99
136	1	0	100
137	1	5	95
138	1	38	62
139	1	3	97
140	1	0	100
141	1	0	100
142	1	4	96
143	0	2	98
144	1	8	92
145	1	2	98
146	1	2	98
147	1	1	99
148	1	0	100
149	1	0	100
150	0	21	79
151	1	11	89
152	1	0	100
153	0	8	92
154	1	0	100
155	1	3	97
156	1	0	100
157	1	4	96
158	1	19	81
159	1	1	99
160	1	0	100
161	1	0	100
162	1	0	100
163	1	0	100
164	1	0	100
165	1	0	100
166	1	0	100
167	1	0	100
168	1	4	96
169	1	2	98
170	1	0	100
171	1	1	99
172	1	4	96
173	1	0	100
174	0	7	93
175	1	2	98
176	1	1	99
177	1	34	66
178	1	6	94
179	0	18	82
180	1	0	100
181	1	0	100
182	1	0	100
183	1	0	100
184	1	0	100
185	1	1	99
186	1	1	99
187	1	1	99
188	1	3	97
